09/09/17 13:5:49	10/09/17 13:5:49
TkadKpvp6t0	Breaking: "Mexico Hurricane Katia Kills 2 & 8.1 Quake Kills 65 People"	14596
YCkEBg4Usv4	तो 2018 में ही होगा लोकसभा चुनाव,2019 में नहीं ?!PM Narendra Modi ले सकते है बड़ा फैसला	3200
ULFUl01oWxw	JNUSU Elections 2017-18: Final Results! Left United Makes Clean sweep JNUSU Polls.	2023
Of9_ePdpzUE	Typhoon Talim to Hit Taiwan on Thursday September 14, 2017	1448
h8QmdV0UgxI	TOP STRATEGIST REVEALS DEMOCRAT’S LAST HOPE FOR 2020 IS – MICHELLE OBAMA?!	1155
v5me2HD8xzI	Raila Odinga should have accepted and moved on after the landslide defeat - Uhuru Kenyatta	1020
Hr8tRB0jv4w	Calvin Harris ft. Pharrell Williams, Katy Perry - "Feels" Cover (@RosendaleSings x @SingingSachi)	355
XXVL5n2TZUE	Leaders divided on land for Bududa landslide survivors	213
goEeDTkngvs	மண்சரிவால் 10க்கும் மேற்பட்ட கிராமங்கள் துண்டிப்பு	150
ufl_gHOGWDw	What Woman Did With PMLN MPA In NA-120	119
